train_rmse,train_loss,epoch,step,val_rmse,val_loss
0.05266355723142624,0.005968024488538504,0,49,,
0.03790593147277832,0.003337908536195755,0,99,,
,,0,108,0.022298071533441544,0.0022457363083958626
0.03071015141904354,0.00229888828471303,1,149,,
0.026210777461528778,0.0016730991192162037,1,199,,
,,1,217,0.009000875055789948,0.00018495574477128685
0.0256604366004467,0.0017881423700600863,2,249,,
0.02151002548635006,0.0009239856153726578,2,299,,
,,2,326,0.0073901875875890255,0.00021952902898192406
0.020210668444633484,0.0006963417981751263,3,349,,
0.021633446216583252,0.0013175650965422392,3,399,,
,,3,435,0.007925072684884071,0.00013756481348536909
0.017961356788873672,0.0007084051030687988,4,449,,
0.019064925611019135,0.0007510469877161086,4,499,,
,,4,544,0.009596453979611397,0.0005589175852946937
0.01593858003616333,0.0006676422199234366,5,549,,
0.016166962683200836,0.0006957391742616892,5,599,,
0.013108272105455399,0.00033800065284594893,5,649,,
,,5,653,0.006334000267088413,0.0001172161428257823
0.014293923042714596,0.0005873534828424454,6,699,,
0.01621946319937706,0.000537646934390068,6,749,,
,,6,762,0.005987528245896101,0.00013456915621645749
0.013714310713112354,0.0005971379578113556,7,799,,
0.01312479842454195,0.0003955067368224263,7,849,,
,,7,871,0.006475677713751793,0.0002497576642781496
0.017471998929977417,0.00041603855788707733,8,899,,
0.01807517372071743,0.0005710537079721689,8,949,,
,,8,980,0.006063574925065041,9.495412814430892e-05
0.01484338752925396,0.00037953146966174245,9,999,,
0.016700726002454758,0.00036000533145852387,9,1049,,
,,9,1089,0.005500501021742821,9.528019290883094e-05
0.010441086255013943,0.0002501201524864882,10,1099,,
0.010128705762326717,0.00020811434660572559,10,1149,,
,,10,1198,0.006069507449865341,8.76475460245274e-05
0.009898912161588669,0.00020832002337556332,11,1199,,
0.012371134012937546,0.00040833180537447333,11,1249,,
0.010762492194771767,0.00021310130250640213,11,1299,,
,,11,1307,0.0048710862174630165,3.2899199140956625e-05
0.00888548232614994,0.00019834606791846454,12,1349,,
0.012036880478262901,0.00021907660993747413,12,1399,,
,,12,1416,0.004455467686057091,4.0137576434062794e-05
0.009319689124822617,0.00017643944011069834,13,1449,,
0.00867331214249134,0.00018069976067636162,13,1499,,
,,13,1525,0.004318328574299812,3.292629116913304e-05
0.008602173067629337,0.00015410699415951967,14,1549,,
0.009171933867037296,0.0001919866044772789,14,1599,,
,,14,1634,0.004281550645828247,3.8245874748099595e-05
0.008912734687328339,0.00014539080439135432,15,1649,,
0.007038982585072517,9.645512909628451e-05,15,1699,,
,,15,1743,0.004226427525281906,3.197114710928872e-05
